k,mu,seed,accuracy
6.0,0.0,42,0.8026
6.0,0.0,43,0.812
6.0,0.0,44,0.806
6.0,0.0,45,0.806
6.0,0.0,46,0.8078
6.0,0.0,47,0.8109999999999999
6.0,0.0,48,0.8176
6.0,0.0,49,0.8046
6.0,0.0,50,0.7946
6.0,0.0,51,0.8042
6.0,0.05,42,0.8130000000000001
6.0,0.05,43,0.8048
6.0,0.05,44,0.8140000000000001
6.0,0.05,45,0.8190000000000002
6.0,0.05,46,0.8218
6.0,0.05,47,0.8172
6.0,0.05,48,0.8266
6.0,0.05,49,0.8096
6.0,0.05,50,0.8211999999999999
6.0,0.05,51,0.8150000000000001
6.0,0.1,42,0.8186
6.0,0.1,43,0.8171999999999999
6.0,0.1,44,0.8098000000000001
6.0,0.1,45,0.7932
6.0,0.1,46,0.8172
6.0,0.1,47,0.8151999999999999
6.0,0.1,48,0.817
6.0,0.1,49,0.8156000000000001
6.0,0.1,50,0.8088
6.0,0.1,51,0.8140000000000001
6.0,0.15,42,0.8032
6.0,0.15,43,0.8140000000000001
6.0,0.15,44,0.8253999999999999
6.0,0.15,45,0.8164
6.0,0.15,46,0.8102
6.0,0.15,47,0.8150000000000001
6.0,0.15,48,0.8192
6.0,0.15,49,0.8088
6.0,0.15,50,0.817
6.0,0.15,51,0.8176
6.0,0.2,42,0.8158
6.0,0.2,43,0.8144
6.0,0.2,44,0.8183999999999999
6.0,0.2,45,0.8096
6.0,0.2,46,0.8146000000000001
6.0,0.2,47,0.8218
6.0,0.2,48,0.8155999999999999
6.0,0.2,49,0.819
6.0,0.2,50,0.8262
6.0,0.2,51,0.8245999999999999
6.0,0.25,42,0.8196
6.0,0.25,43,0.8116
6.0,0.25,44,0.8194000000000001
6.0,0.25,45,0.8192
6.0,0.25,46,0.8188000000000001
6.0,0.25,47,0.8207999999999999
6.0,0.25,48,0.8325999999999999
6.0,0.25,49,0.8022
6.0,0.25,50,0.8266
6.0,0.25,51,0.8236000000000001
6.0,0.3,42,0.8273999999999999
6.0,0.3,43,0.818
6.0,0.3,44,0.8183999999999999
