k,mu,seed,accuracy
6.0,0.0,42,0.856
6.0,0.0,43,0.854
6.0,0.0,44,0.85
6.0,0.0,45,0.837
6.0,0.0,46,0.844
6.0,0.05,42,0.836
6.0,0.05,43,0.85
6.0,0.05,44,0.833
6.0,0.05,45,0.855
6.0,0.05,46,0.828
6.0,0.1,42,0.826
6.0,0.1,43,0.861
6.0,0.1,44,0.842
6.0,0.1,45,0.856
6.0,0.1,46,0.838
6.0,0.15,42,0.862
6.0,0.15,43,0.837
6.0,0.15,44,0.85
6.0,0.15,45,0.824
6.0,0.15,46,0.838
6.0,0.2,42,0.856
6.0,0.2,43,0.835
6.0,0.2,44,0.849
6.0,0.2,45,0.831
6.0,0.2,46,0.832
6.0,0.25,42,0.832
6.0,0.25,43,0.837
6.0,0.25,44,0.846
6.0,0.25,45,0.834
6.0,0.25,46,0.837
6.0,0.3,42,0.814
6.0,0.3,43,0.849
6.0,0.3,44,0.83
6.0,0.3,45,0.824
6.0,0.3,46,0.834
6.0,0.35,42,0.841
6.0,0.35,43,0.837
6.0,0.35,44,0.827
6.0,0.35,45,0.84
6.0,0.35,46,0.817
6.0,0.4,42,0.855
6.0,0.4,43,0.81
6.0,0.4,44,0.834
6.0,0.4,45,0.836
6.0,0.4,46,0.829
6.0,0.45,42,0.845
6.0,0.45,43,0.846
6.0,0.45,44,0.829
6.0,0.45,45,0.842
6.0,0.45,46,0.843
6.0,0.5,42,0.825
6.0,0.5,43,0.845
6.0,0.5,44,0.836
6.0,0.5,45,0.82
6.0,0.5,46,0.81
6.0,0.55,42,0.836
6.0,0.55,43,0.826
6.0,0.55,44,0.84
6.0,0.55,45,0.831
6.0,0.55,46,0.84
6.0,0.6,42,0.826
6.0,0.6,43,0.827
6.0,0.6,44,0.841
6.0,0.6,45,0.831
6.0,0.6,46,0.852
6.0,0.65,42,0.832
6.0,0.65,43,0.834
6.0,0.65,44,0.82
6.0,0.65,45,0.825
6.0,0.65,46,0.84
6.0,0.7,42,0.838
6.0,0.7,43,0.829
6.0,0.7,44,0.858
6.0,0.7,45,0.837
6.0,0.7,46,0.854
6.0,0.75,42,0.822
6.0,0.75,43,0.834
6.0,0.75,44,0.827
6.0,0.75,45,0.815
6.0,0.75,46,0.842
6.0,0.8,42,0.845
6.0,0.8,43,0.858
6.0,0.8,44,0.831
6.0,0.8,45,0.815
6.0,0.8,46,0.846
6.0,0.85,42,0.813
6.0,0.85,43,0.848
6.0,0.85,44,0.846
6.0,0.85,45,0.833
6.0,0.85,46,0.838
6.0,0.9,42,0.85
6.0,0.9,43,0.821
6.0,0.9,44,0.848
6.0,0.9,45,0.848
6.0,0.9,46,0.847
6.0,0.95,42,0.847
6.0,0.95,43,0.837
6.0,0.95,44,0.833
6.0,0.95,45,0.84
6.0,0.95,46,0.828
6.0,1.0,42,0.826
6.0,1.0,43,0.82
6.0,1.0,44,0.844
6.0,1.0,45,0.836
6.0,1.0,46,0.85
