k,mu,seed,accuracy
6.0,0.0,42,0.87
6.0,0.0,43,0.896
6.0,0.0,44,0.868
6.0,0.0,45,0.872
6.0,0.0,46,0.874
6.0,0.05,42,0.872
6.0,0.05,43,0.88
6.0,0.05,44,0.877
6.0,0.05,45,0.879
6.0,0.05,46,0.884
6.0,0.1,42,0.877
6.0,0.1,43,0.882
6.0,0.1,44,0.869
6.0,0.1,45,0.879
6.0,0.1,46,0.887
6.0,0.15,42,0.889
6.0,0.15,43,0.868
6.0,0.15,44,0.876
6.0,0.15,45,0.888
6.0,0.15,46,0.863
6.0,0.2,42,0.862
6.0,0.2,43,0.873
6.0,0.2,44,0.882
6.0,0.2,45,0.868
6.0,0.2,46,0.877
6.0,0.25,42,0.893
6.0,0.25,43,0.891
6.0,0.25,44,0.889
6.0,0.25,45,0.882
6.0,0.25,46,0.879
6.0,0.3,42,0.89
6.0,0.3,43,0.872
6.0,0.3,44,0.881
6.0,0.3,45,0.868
6.0,0.3,46,0.88
6.0,0.35,42,0.877
6.0,0.35,43,0.869
6.0,0.35,44,0.855
6.0,0.35,45,0.869
6.0,0.35,46,0.881
6.0,0.4,42,0.886
6.0,0.4,43,0.888
6.0,0.4,44,0.867
6.0,0.4,45,0.892
6.0,0.4,46,0.88
6.0,0.45,42,0.886
6.0,0.45,43,0.88
6.0,0.45,44,0.877
6.0,0.45,45,0.879
6.0,0.45,46,0.884
6.0,0.5,42,0.875
6.0,0.5,43,0.882
6.0,0.5,44,0.882
6.0,0.5,45,0.892
6.0,0.5,46,0.875
6.0,0.55,42,0.859
6.0,0.55,43,0.874
6.0,0.55,44,0.866
6.0,0.55,45,0.875
6.0,0.55,46,0.888
6.0,0.6,42,0.868
6.0,0.6,43,0.868
6.0,0.6,44,0.89
6.0,0.6,45,0.884
6.0,0.6,46,0.887
6.0,0.65,42,0.881
6.0,0.65,43,0.871
6.0,0.65,44,0.886
6.0,0.65,45,0.881
6.0,0.65,46,0.89
6.0,0.7,42,0.873
6.0,0.7,43,0.863
6.0,0.7,44,0.885
6.0,0.7,45,0.867
6.0,0.7,46,0.883
6.0,0.75,42,0.887
6.0,0.75,43,0.881
6.0,0.75,44,0.889
6.0,0.75,45,0.896
6.0,0.75,46,0.889
6.0,0.8,42,0.877
6.0,0.8,43,0.869
6.0,0.8,44,0.876
6.0,0.8,45,0.887
6.0,0.8,46,0.881
6.0,0.85,42,0.866
6.0,0.85,43,0.863
6.0,0.85,44,0.883
6.0,0.85,45,0.869
6.0,0.85,46,0.879
6.0,0.9,42,0.871
6.0,0.9,43,0.857
6.0,0.9,44,0.891
6.0,0.9,45,0.891
6.0,0.9,46,0.872
6.0,0.95,42,0.881
6.0,0.95,43,0.861
6.0,0.95,44,0.88
6.0,0.95,45,0.873
6.0,0.95,46,0.878
6.0,1.0,42,0.88
6.0,1.0,43,0.87
6.0,1.0,44,0.87
6.0,1.0,45,0.87
6.0,1.0,46,0.896
