k,mu,accuracy
2.0,0.0,0.906
2.0,0.1,0.908
2.0,0.2,0.907
2.0,0.3,0.892
2.0,0.4,0.901
2.0,0.5,0.907
2.0,0.6,0.911
2.0,0.7,0.907
2.0,0.8,0.904
2.0,0.9,0.909
2.0,1.0,0.903
4.0,0.0,0.895
4.0,0.1,0.883
4.0,0.2,0.888
4.0,0.3,0.876
4.0,0.4,0.888
4.0,0.5,0.88
4.0,0.6,0.886
4.0,0.7,0.888
4.0,0.8,0.887
4.0,0.9,0.881
4.0,1.0,0.905
8.0,0.0,0.78
8.0,0.1,0.765
8.0,0.2,0.763
8.0,0.3,0.763
8.0,0.4,0.762
8.0,0.5,0.756
8.0,0.6,0.78
8.0,0.7,0.764
8.0,0.8,0.754
8.0,0.9,0.783
8.0,1.0,0.761
16.0,0.0,0.592
16.0,0.1,0.557
16.0,0.2,0.583
16.0,0.3,0.567
16.0,0.4,0.536
16.0,0.5,0.583
16.0,0.6,0.547
16.0,0.7,0.526
16.0,0.8,0.537
16.0,0.9,0.541
16.0,1.0,0.53
32.0,0.0,0.438
32.0,0.1,0.446
32.0,0.2,0.46
32.0,0.3,0.425
32.0,0.4,0.43
32.0,0.5,0.43
32.0,0.6,0.408
32.0,0.7,0.417
32.0,0.8,0.44
32.0,0.9,0.446
32.0,1.0,0.428
64.0,0.0,0.427
64.0,0.1,0.404
64.0,0.2,0.399
64.0,0.3,0.383
64.0,0.4,0.379
64.0,0.5,0.37
64.0,0.6,0.393
64.0,0.7,0.388
64.0,0.8,0.365
64.0,0.9,0.375
64.0,1.0,0.385
